Ensembl.ID	Mouse.Brain.RP.R1	Mouse.Brain.RP.R2	Mouse.Brain.RP.R3	Mouse.Liver.RP.R1	Mouse.Liver.RP.R2	Mouse.Liver.RP.R3	Mouse.Testis.RP.R1	Mouse.Testis.RP.R2	Mouse.Testis.RP.R3	Opossum.Brain.RP.R1	Opossum.Brain.RP.R2	Opossum.Brain.RP.R3	Opossum.Liver.RP.R1	Opossum.Liver.RP.R2	Opossum.Liver.RP.R3	Opossum.Testis.RP.R1	Opossum.Testis.RP.R2	Opossum.Testis.RP.R3	Mouse.Brain.TR.R1	Mouse.Brain.TR.R2	Mouse.Brain.TR.R3	Mouse.Liver.TR.R1	Mouse.Liver.TR.R2	Mouse.Liver.TR.R3	Mouse.Testis.TR.R1	Mouse.Testis.TR.R2	Mouse.Testis.TR.R3	Opossum.Brain.TR.R1	Opossum.Brain.TR.R2	Opossum.Brain.TR.R3	Opossum.Liver.TR.R1	Opossum.Liver.TR.R2	Opossum.Liver.TR.R3	Opossum.Testis.TR.R1	Opossum.Testis.TR.R2	Opossum.Testis.TR.R3
ENSMUSG00000029925	1.4848	1.1661	1.196	2.7938	3.7626	2.853	0	0	0	7.2785	6.0846	6.7423	26.8192	18.2341	18.716	0	0	0	1.2287	1.4563	1.8078	2.8896	3.2027	3.2843	0	0	0	3.7794	5.6085	3.8401	15.8455	11.4358	9.5967	0	0	0
ENSMUSG00000038507	4.1446	2.6697	2.47	25.84	29.0739	25.9944	28.4479	24.7263	25.5102	1.7977	2.1248	2.5425	50.4573	49.646	61.4963	19.9426	15.1055	14.6333	6.3279	4.8829	3.6384	31.8314	31.3891	33.6817	21.3978	22.5047	20.3773	3.9107	3.2647	6.6225	37.2491	38.7495	40.957	16.6073	16.4044	13.7107
ENSMUSG00000090290	1.816	1.1547	0.7205	4.8378	6.535	6.7086	0	0	0	1.1419	1.3186	1.243	7.6389	5.2411	5.2616	2.5366	2.3949	2.3739	6.1738	6.5335	4.5826	9.27	11.9715	9.6228	0	0	0	9.2939	10.3535	12.8464	10.6194	10.9328	9.4366	5.7244	6.4861	5.221
ENSMUSG00000028085	11.0456	11.9033	11.8603	58.4794	64.9661	42.5776	17.912	18.3497	15.0495	12.1516	11.2764	11.0376	15.4628	19.5584	17.6061	7.4058	7.2784	6.7791	17.9126	18.5547	17.8491	60.2021	59.6872	40.1541	31.3593	34.4398	31.0474	16.9047	15.4402	14.5131	15.8431	19.6576	14.4749	6.9236	6.0751	5.3799
ENSMUSG00000001156	27.212	29.6108	31.4218	17.6878	9.586	10.5723	36.4307	50.6128	45.2576	66.9532	67.5021	52.2032	9.2847	16.1984	19.4031	65.5872	86.9167	58.0186	16.4994	20.1972	17.7838	5.8935	11.4758	7.1291	52.0978	95.8648	86.797	53.8953	41.6398	35.3473	7.9981	18.5218	18.2177	41.2262	42.0148	49.546
ENSMUSG00000020015	139.6663	220.864	224.8826	21.4286	20.3756	21.2994	21.585	23.8725	25.511	255.4449	250.7055	251.3853	13.752	13.682	18.5793	31.9265	38.0802	35.6709	161.5728	196.2767	186.2954	31.8831	27.775	28.061	33.7999	38.2362	37.0976	153.117	179.2916	168.4493	15.2432	20.1078	21.2583	33.1763	36.1931	36.2781
ENSMUSG00000037126	23.1209	28.0669	24.4572	0	0	0	2.7562	5.9652	6.4109	40.1555	32.152	39.3566	0	0	0	7.6127	6.0186	10.1179	79.6621	130.1446	112.0192	0.5694	0	0.6357	6.4256	8.0593	10.4453	177.5175	159.6141	173.9661	0	0	0	6.4783	9.3385	15.5977
ENSMUSG00000033323	9.1866	8.4235	7.6283	7.8991	8.8358	5.9958	11.4937	10.9868	10.1393	15.0073	12.9795	9.9678	9.485	12.8191	11.8434	33.2702	36.7079	35.9306	13.883	15.756	14.2819	11.1394	13.1311	12.3602	24.5943	32.688	34.6196	31.539	22.8386	21.0779	16.771	16.9577	17.0811	63.6195	64.2153	63.5646
ENSMUSG00000030189	26.1038	32.1695	25.7737	45.5196	43.4706	51.9537	365.6057	496.7163	438.2058	0.3604	2.1465	2.0388	19.7605	33.0112	17.8688	39.2937	44.4445	45.5043	18.1255	26.1578	21.8239	26.2933	30.7897	28.8473	1258.4754	2082.9277	1860.9532	2.9866	3.044	2.2522	44.3461	78.9959	86.7632	75.6038	79.8242	74.1507
ENSMUSG00000045962	19.6934	12.6333	15.2503	9.8303	12.7325	10.646	39.0787	38.6475	48.2918	20.2994	19.739	21.2359	23.9451	27.9086	31.163	39.9609	40.4038	40.3889	40.9651	27.9444	27.9987	52.0718	42.0739	47.4284	40.5547	25.5317	27.805	49.8385	50.5482	48.6973	57.3748	66.2556	77.5777	44.1723	44.4336	70.0756
ENSMUSG00000035041	0	0	0	380.3434	512.2076	389.1142	0	0	0	0	0	0	202.8175	195.6624	221.9144	3.3144	2.461	3.4357	0	0	0	324.4641	368.8537	306.9934	0	0	0	0	0	0	147.4172	158.552	165.8415	2.0314	1.6806	1.6032
ENSMUSG00000043257	2.1843	1.548	1.1617	2.5612	4.2718	2.9745	7.2	6.0103	8.3079	1.4515	1.7403	2.2954	1.9369	1.6958	1.1578	3.1235	1.7365	3.3175	3.232	2.9632	3.1268	8.4321	10.2068	8.4537	14.8099	14.7387	15.8318	4.4524	5.4773	5.3076	3.1013	3.3986	2.2369	2.5179	2.7743	3.9821
ENSMUSG00000029420	22.115	27.2382	24.9099	0	0	0	0.2569	1.4144	0.8093	14.6867	15.2028	18.524	0	0	0	0.9365	1.0268	1.4864	25.0152	42.2268	32.1089	0	0	0	0.3265	1.1348	1.2259	41.2138	41.8578	48.9295	0	0	0	2.4853	2.8098	2.972
ENSMUSG00000027966	1.7291	1.3041	0.8045	0	0	0	0	0	0	0.5799	1.0726	0.7616	0	0	0	0.5587	0.4173	0.6501	5.4735	4.9018	4.0604	0	0	0	0	0	0	0.826	2.1122	1.3351	0	0	0	0.683	0.9327	1.044
ENSMUSG00000074994	1.9871	1.9419	2.4516	4.0336	3.9036	4.8588	5.5361	6.7364	7.8338	2.6654	3.3756	2.8373	12.3502	16.3287	16.5492	7.3791	6.58	7.1101	7.7625	5.8157	6.4777	16.1076	14.0687	16.411	9.5036	6.8208	7.3681	30.6335	31.9455	26.8633	45.942	66.1293	71.8874	12.2688	12.1707	14.0988
ENSMUSG00000030268	160.319	128.3543	102.3903	0	0	0	0	0	0	92.0563	93.6946	80.5397	0	0	0	0	0	0	89.9722	77.5411	77.2492	0	0	0	0	0	0	47.033	52.7308	47.9018	0	0	0	0	0	0
ENSMUSG00000036306	31.7302	39.2913	38.9833	0	0	0	4.4509	3.5864	4.7422	49.7725	67.175	51.3789	0	0	0	4.7926	7.6374	6.1056	36.1607	46.5578	45.7764	0	0	0	5.4683	3.4317	4.2407	44.1376	53.9832	40.8753	0	0	0	2.5437	2.1243	3.1843
ENSMUSG00000027002	183.5668	174.9247	284.3435	59.697	64.0846	71.3347	69.9361	64.228	71.5772	249.2799	217.9751	226.6185	52.8287	51.7359	55.2575	50.2244	55.8602	43.4892	262.4374	216.4167	325.9278	99.8558	111.6269	94.5336	90.667	80.9697	80.8417	223.3748	209.0404	222.7828	73.2646	63.9349	65.7546	45.9469	47.1802	50.7714
ENSMUSG00000040112	53.1716	50.9463	52.768	90.324	113.7144	102.0446	52.0884	40.3324	38.3797	50.4813	46.5754	49.97	59.4471	78.8198	87.3137	32.3349	34.3001	30.557	39.3821	42.4669	44.9621	67.2552	89.3215	69.2552	39.5594	31.0027	29.9796	23.357	21.3302	24.8526	38.1653	49.067	56.187	17.4933	13.9077	16.999
